#漢字	音標	解釋
捩	ȵie3	用力拧扭:～毛巾
据	tɕy5	
捶	tɕʰyei2	
捷	tɕie7	
捺	la7	
掀	ɕiɛn1	
掂	tiɛn1	
掇	to7	
授	səu1	
掉	tiɑu5	
掌	tsɑŋ3	
掏	tʰɑu1	
掐	kʰa7	
排	pʰai2	
掘	tɕyæ7	
掠	lio7	
接	tɕie7	
控	kʰoŋ5	
推	tʰei1	
掩	iɛn3	
措	tsʰo5	
掰	pai1	
擲	tsɿ1	
撣	tan3	
摻	tsʰan1	
揉	zəu2	
揍	tsəu5	
描	miɑu2	
提	ti1	提防
提	tʰi2	
插	tsʰa7	
揖	i7	
握	uo7	
揣	tɕʰyai1	
揩	kʰai1	
揪	tɕiəu1	
援	yan2	
攬	lan3	
攙	tsʰan1	
擱	ko7	
摟	ləu3	
攪	kɑu3	打～ :打扰
搉	kʰo7	
搏	po7	
搓	tsʰo1	
搜	səu1	
搞	kɑu3	
搞	kʰɑu5	
搪	tʰɑŋ2	
搬	pon1	
搭	ta7	
搲	ua3	～米
携	ɕie2	
搽	tsʰa2	
攝	sæ7	
摆	pai3	
摇	iɑu2	
擯	pin3	
攤	tʰan1	
摔	ɕyai1	
摘	tsæ7	
摧	tsʰei1	
摩	mo2	
摸	mo1	
摸	ɕin3	
摹	mo2	
撂	liɑu1	
撇	pʰie7	
撑	tsʰən1	
撒	sa7	
撕	sɿ1	
撞	tɕʰyɑŋ1	
撤	tsʰæ7	
撩	liɑu2	
撬	tɕʰiɑu5	
播	po1	
撮	tsʰo1	
撮	tso7	
撰	tɕyan5	
攆	ȵiɛn3	
撼	xan5	
擀	kon3	
擂	lei1	
擅	san1	
擅	san5	
操	tsʰɑu1	操心
操	tsʰɑu5	姓
擎	tɕʰin2	
擒	tɕʰin2	
擻	səu3	
擦	tsʰa7	
攀	pʰon1	
攢	tsan3	
攘	nɑŋ3	
攥	tson5	
支	tsɿ1	
收	səu1	
改	kai3	
攻	koŋ1	
放	fɑŋ5	
政	tsən5	
故	ku5	
效	ɕiɑu1	
敵	ti7	
敏	min2	
救	tɕiəu5	
教	tɕiɑu1	
敝	pi5	
敞	tsʰɑŋ3	
敢	kan3	
敢	kon3	
散	san3	散开
散	san5	散步
敦	tən1	
敨	tʰəu3	
敬	tɕin5	
數	səu3	
數	səu5	
敲	kʰɑu1	
整	tsən3	
敷	fu1	
文	uən2	
斋	tsai1	
斌	pin1	
斑	pan1	
斗	təu3	计量单位
斗	təu5	
料	liɑu1	
斜	ɕie2	
斟	tsən1	
斤	tɕin1	
斥	tsʰɿ7	
斧	fu3	
斬	tsan3	
斷	tʰon1	
斯	sɿ1	
新	ɕin1	
方	fɑŋ1	
施	sɿ1	
旁	pʰɑŋ2	
旅	ly3	
旋	ɕyan2	
族	tsəu7	
旗	tɕʰi2	
无	u2	
既	tɕi5	
日	zɿ7	
舊	tɕʰiəu1	
旨	tsɿ3	
早	tsɑu3	
旬	ɕyn2	
旱	xon5	
時	sɿ2	
曠	kʰuɑŋ5	
旺	uɑŋ1	
昂	ŋɑŋ1	
昆	kʰuən1	
昊	xɑu5	
昌	tsʰɑŋ1	
明	mən2	明朝
明	min2	
昏	xuən1	
易	i1	
曇	tʰan2	
星	ɕin1	
映	in5	
春	tɕʰyn1	
昧	mei1	
昨	tsʰo1	
昭	tsɑu1	
是	sɿ1	
昵	ȵi2	
晝	tsəu5	
顯	ɕiɛn3	
晃	xuɑŋ5	闲晃
晉	tɕin5	
晏	ŋan5	
曬	sai5	
曉	ɕiɑu3	
暈	yn1	
晚	uan3	
晦	xuei5	
晨	tsʰən2	
普	pʰu3	
晴	tɕʰin2	
晶	tɕin1	
智	tsɿ5	
晾	liɑŋ1	
暫	tsʰan1	
暑	ɕy3	
暗	ŋan5	
暮	mu1	
暴	pʰɑu1	
曰	yæ7	
曲	tɕʰy7	
更	kən5	
曹	tsʰɑu2	
曾	tsʰən2	
替	tʰi5	
最	tsei5	
月	yæ7	
有	iəu3	
朋	pʰoŋ2	
服	fu7	
朔	so7	
朗	lɑŋ3	
望	uɑŋ1	
朝	tsɑu1	朝气
朝	tsʰɑu2	朝代
期	tɕʰi1	
朦	moŋ2	
木	mu7	
未	uei1	
末	mo7	
本	pən3	
札	tsa7	
术	ɕy7	
朱	tɕy1	
朴	pʰu3	
朵	to3	
機	tɕi1	
朽	ɕiəu3	
殺	sa7	
雜	tsa7	
權	tɕʰyan2	
杈	tsʰa1	
杉	sa1	
杉	san1	
李	li3	
杏	ɕin5	
材	tsʰai2	
村	tsʰən1	
杖	tsɑŋ5	
杠	kɑŋ5	
條	tʰiɑu2	
來	lai2	
楊	iɑŋ2	
杭	xɑŋ2	
杯	pei1	
杰	tɕie7	
杷	pʰa1	
松	soŋ1	
板	pan3	
極	tɕi7	
構	kiəu3	
構	kiəu5	
枉	uɑŋ3	
枕	tsən3	
林	lin2	
枚	iəu1	
枚	mei2	
果	ko3	
枝	tsɿ1	
棗	tsɑu3	
槍	tsʰɑŋ1	
槍	tɕʰiɑŋ1	
楓	foŋ1	
枯	kʰu1	
架	ka5	架上去
架	tɕia5	衣架
枷	tɕia1	
柄	pin3	
某	mo3	
柑	kan1	
染	zan3	
柔	zəu2	
櫃	kʰuei1	
柞	tɕʰy3	
查	tsa1	姓
查	tsʰa2	调查
柩	tɕʰiəu1	
柬	tɕiɛn3	
柱	tɕʰy1	
柳	liəu3	
柴	tsʰai2	
柿	tsʰɿ1	
柵	tsa5	
標	piɑu1	
棟	toŋ5	
欄	lan2	
樹	ɕy1	
栓	ɕyan1	
栖	tɕʰi1	
栗	li7	
校	tɕiɑu1	
校	ɕiɑu1	
株	tɕy1	
樣	iɑŋ1	
核	xu1	桃核
核	xu2	
根	kən1	
格	kæ7	
栽	tsai1	
桂	kuei5	
桃	tʰɑu2	
框	kʰuɑŋ1	
桌	tso7	
桐	tʰoŋ2	
桑	sɑŋ1	
桔	tɕy7	
檔	tɑŋ1	
橋	tɕʰiɑu2	
槳	tɕiɑŋ3	
樁	tɕyɑŋ1	
桶	tʰoŋ3	
梁	liɑŋ2	
梅	mei2	
梆	pɑŋ1	
梏	ku7	
梓	tsɿ3	
梔	tsɿ1	
梗	kən3	
梢	sɑu1	
夢	moŋ1	
梧	u2	
梨	li2	
梭	so1	
梯	tʰi1	
梯	tʰei1	～子
械	tɕiai5	
梳	səu1	
檢	tɕiɛn3	
棉	miɛn2	
棋	tɕʰi2	
棍	kuən5	
棒	pɑŋ5	
棕	tsoŋ1	
棚	pʰoŋ2	
棠	tʰɑŋ2	
森	sən1	
棵	kʰo1	
棺	kon1	
椅	i3	
椎	tɕyei1	
椒	tɕiɑu1	
橢	tʰo3	
楚	tsʰəu3	
楷	kʰai3	
楹	in2	
樓	ləu2	
概	kai5	
欖	lan3	
榔	lɑŋ2	
榕	zoŋ2	
榜	pɑŋ3	
榨	tsa5	
榴	liəu2	
榻	tʰa7	
槐	xuai2	
檻	kʰan3	
檳	pin1	
槽	tsʰɑu2	
樟	tsɑŋ1	
模	mo2	
模	tən5	
橫	xən2	
橫	xuən2	
橫	xuɑŋ2	
櫻	in1	
橄	kan3	
橘	tɕy7	
橙	tsʰən2	
櫥	tɕʰy2	
檀	tʰan2	
檐	iɛn2	
檬	moŋ2	
欠	tɕʰiɛn5	
次	tsʰɿ5	
歡	xon1	
欣	ɕin1	
歐	ŋiəu1	
欲	y1	
欺	tɕʰi1	
款	kʰon3	
歇	ɕie7	
歉	tɕʰiɛn5	
歌	ko1	
歙	sæ1	
止	tsɿ3	
正	tsən5	
此	tsʰɿ3	
步	pʰu1	
武	u3	
歧	tɕʰi3	
歪	uai1	
歹	tai3	
死	sɿ3	
殃	iɑŋ1	
殉	ɕyn1	
殊	ɕy1	
殘	tsʰan2	
殖	tsʰɿ1	
殯	pʰin2	
殯	pin5	
毆	ŋiəu1	
殿	tiɛn5	
毁	xuei3	
毅	i5	
母	mu3	
每	mei3	
毒	tʰəu1	
比	pi3	
畢	pi7	
斃	pi5	
毛	mɑu2	
毡	tsan1	
毫	xɑu2	
毯	tʰan3	
毽	tɕiɛn5	
民	min2	
气	tɕʰi5	
氛	fən1	
氟	fu2	
氫	tɕʰin1	
氧	iɑŋ3	
氨	ŋan1	
水	ɕyei3	
永	ioŋ3	
永	yn3	
汁	tsɿ1	
汁	tsɿ7	
求	tɕʰiəu2	
汆	tsʰon1	
汇	xuei1	
漢	xan5	
汕	san5	
汗	xon1	
汛	ɕyn5	
汞	koŋ3	
江	tɕiɑŋ1	
池	tsʰɿ2	
污	u1	
湯	tʰɑŋ1	
汪	uɑŋ1	
汰	tʰai1	
汹	ɕioŋ1	
汽	tɕʰi5	
沈	sən3	
沉	tsʰən2	
沏	tɕʰi1	
沏	tɕʰi7	
沐	mu7	
沓	ta7	
沙	sa1	
沛	pʰei5	
溝	kiəu1	
沒	mo7	
漚	ŋiəu5	
瀝	li7	
滄	tsʰɑŋ1	
滬	xu1	
沫	mo7	
沮	tɕy3	
沰	to7	淋:～雨
沱	tʰo2	
河	xo2	
沸	fei5	
油	iəu2	
治	tsʰɿ2	～鱼
治	tsɿ5	
沼	tsɑu1	
沾	tsan1	
沿	iɛn2	
泄	ɕie1	
泉	tɕʰyan2	
泊	po7	
泌	mi7	
法	fa7	
泛	fan1	
濘	ȵin2	
泡	pʰɑu5	
波	po1	
泣	tɕʰi7	
泥	ȵi2	
注	tɕy5	
淚	lei1	
泯	min3	
泰	tʰai5	
泳	ioŋ3	
泵	pɑŋ5	
瀉	ɕie5	
潑	pʰo7	
澤	tsæ7	
潔	tɕie7	
洋	iɑŋ2	
洒	sa3	
洗	ɕi3	
洛	lo7	
洞	tʰoŋ1	
津	tɕin1	
洪	pɑŋ1	
洪	xoŋ2	
洮	tʰɑu2	～米
洲	tsəu1	
活	xo1	
洼	ua1	
洽	tɕʰia7	
派	pʰai5	
流	liəu2	
淺	tɕʰiɛn3	
漿	tɕiɑŋ1	
澆	tɕiɑu1	
濁	tso7	
測	tsʰæ7	
濟	tɕi5	
瀏	liəu2	
渾	xuən2	
滸	xu3	
濃	noŋ2	
浙	tsæ7	
浚	tɕyn5	
浦	pʰu3	
浩	xɑu5	
浪	lɑŋ1	
浮	fu2	
浴	y1	
浴	iəu7	沐浴
海	xai3	
浸	tɕin5	
涂	tʰəu2	
涅	ȵie7	
消	ɕiɑu1	
涉	sæ7	
涓	tɕyan1	
涕	tʰi5	
濤	tʰɑu1	
澇	lɑu1	
渦	uo1	
潤	yn5	
漲	tsɑŋ3	
漲	tsɑŋ5	
涮	ɕyan5	
涯	ia2	
涯	iai2	
涵	xan2	
淋	lin2	
淌	tʰɑŋ3	
淑	ɕy1	
淑	ɕy7	
淘	tʰɑu2	
淞	soŋ1	
淡	tʰan1	
淤	y1	
淫	in2	
淮	xuai2	
深	sən1	
淳	tɕʰyn2	
混	xuən3	
添	tʰiɛn1	
清	tɕʰin1	
淵	yan1	
漬	tsɿ5	
漸	tɕiɛn1	
漁	y2	
滲	sən5	
渠	kʰie2	
渡	tʰəu1	
渣	tsa1	
溫	uən1	
港	kɑŋ3	
渲	ɕyan1	
渴	kʰo3	
游	iəu2	
渺	miɑu3	
湃	pʰai5	
湍	tʰon1	
湖	xu2	
湘	ɕiɑŋ1	
灣	uan1	
潰	kʰuei5	
濺	tɕiɛn5	
溉	kai5	
源	yan2	
溜	liəu1	
溜	liəu5	
溪	ɕi1	
溯	so7	
溶	zoŋ2	
溺	ȵi7	
滁	tɕʰy2	
滋	tsɿ1	
滑	xua7	
滓	tsɿ3	
滔	tʰɑu1	
滕	tʰən2	
滗	pi7	
滾	kuən3	
滯	tsɿ5	
滿	mon3	
濾	ly1	
濫	lan1	
濱	pin1	
灘	tʰan1	
滴	ti7	
漂	pʰiɑu1	漂流
漂	pʰiɑu3	漂白
漂	pʰiɑu5	漂亮
漆	tɕʰi7	
漏	ləu1	
演	iɛn3	
漠	mo7	
漩	ɕyan2	
漫	mon1	
漱	səu5	
漾	iɑŋ1	
潎	pʰie7	
潘	pʰon1	
潛	tɕʰiɛn2	
潦	liɑu1	
潭	tʰan2	
潮	tsʰɑu2	
澈	tsʰæ7	
澎	pʰoŋ2	
澡	tsɑu3	
澳	ŋɑu5	
激	tɕi1	
瀕	pin1	
瀑	pʰu5	
灌	kon5	
火	xo3	
滅	mie7	
燈	tən1	
灰	xuei1	
靈	lin2	
竈	tsɑu5	
灸	tɕiəu3	
災	tsai1	
燦	tsʰan5	
爐	ləu2	
炊	tɕʰyei1	
炎	iɛn2	
炒	tsʰɑu3	
炕	kʰɑŋ5	
炖	tən5	
炫	ɕyan5	
炬	tɕy1	
炭	tʰan5	
炮	pʰɑu5	
炯	tɕioŋ3	
炸	tsa5	
點	tiɛn3	
爍	so7	
爛	lan1	
烈	lie7	
烘	xoŋ1	
烙	lɑu1	
燭	tɕy7	
烟	iɛn1	
烤	kʰɑu3	
煩	fan2	
燒	sɑu1	
燴	xuei5	
燙	tʰɑŋ5	
燼	tɕin5	
熱	zæ7	
烹	pʰoŋ1	
焉	iɛn1	
焊	xan5	
煥	xon5	
焚	fən2	
焰	iɛn1	
然	zan2	
煅	ton5	
煌	xuɑŋ2	
煞	sa7	
煤	mei2	
照	tsɑu5	
煮	tɕy3	
煲	pɑu3	
煽	san1	
熄	ɕi7	
熊	ɕioŋ2	
熏	ɕyn1	
熔	zoŋ2	
熙	ɕi1	
熟	ɕy1	
熨	yn1	
熬	ŋɑu2	
燃	zan2	
燕	iɛn5	
燥	tsɑu5	
爆	pʰɑu1	
爪	tɕya3	
爪	tsɑu3	
爬	pʰa2	
愛	ŋai5	
爵	tɕyæ7	
父	fu1	
爺	ie2	
爸	pa1	
爹	tie1	
爽	ɕyɑŋ3	
片	pʰiɛn5	
版	pan3	
牌	pʰai2	
牙	ia2	
牛	ȵiəu2	
牡	mu3	
牢	lɑu2	
牧	mu7	
物	u7	～理
物	uæ7	
牽	tɕʰiɛn1	
特	tʰæ7	
犧	ɕi1	
犁	li2	
犬	tɕʰyan3	
犯	fan1	
獷	kuɑŋ3	
猶	iəu2	
狂	kʰuɑŋ2	
狽	pei5	
狐	xu2	
狗	kiəu3	
狠	xən3	
狠	uei3	
狹	ɕia7	
獅	sɿ1	
獄	iəu7	
狸	li2	
狼	lɑŋ2	
獵	lie7	
獼	mi2	
猖	tsʰɑŋ1	
猛	moŋ3	
猜	tsʰai1	
猩	ɕin1	
豬	tɕy1	
貓	mɑu1	
猬	uei5	
獻	ɕiɛn5	
猴	xiəu2	
猾	xua7	
猿	yan2	
獾	xon1	
玄	ɕyan2	
率	ɕyai5	
玉	y1	
王	uɑŋ2	
玖	tɕiəu3	
瑪	ma3	
玩	uan2	
玫	mei2	
環	xuan2	
現	ɕiɛn1	现在
現	ɕiɛn5	出现
玲	lin2	
玻	po1	
珊	san1	
瓏	loŋ2	
珓	kɑu5	占卜用具
珠	tɕy1	
班	pan1	
球	tɕʰiəu2	
琅	lɑŋ2	
理	li3	
琉	liəu2	
瑣	so3	
琢	tso7	
琳	lin2	
琴	tɕʰin2	
琵	pʰi2	
琶	pʰa1	
瓊	tɕʰioŋ2	
瑕	ɕia2	
瑙	nɑu3	
瑚	xu2	
瑞	yei5	
瑰	kuei1	
瑤	iɑu2	
璃	li2	
璋	tsɑŋ1	
璧	pi7	
璨	tsʰan5	
瓜	kua1	
瓠	xu1	
瓢	pʰiɑu2	
瓣	pʰan1	
瓤	zɑŋ2	
瓦	ua3	
瓮	uoŋ5	
甌	ŋiəu1	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kan1	
甚	sən5	
甜	tʰiɛn2	
生	sən1	
甥	sən1	
用	ioŋ1	
甩	ɕyai3	
甫	fu3	
甬	ioŋ3	
田	tʰiɛn2	
由	iəu2	
甲	tɕia7	
申	sən1	
電	tiɛn5	
男	non2	
畫	xua1	
暢	tsʰɑŋ5	
界	tɕiai5	
畔	pʰon5	
留	liəu2	
畚	fən5	
畜	tɕʰy7	
略	lio7	
番	fan1	
疇	tsʰəu2	
畸	tɕi1	
疆	tɕiɑŋ1	
疏	ɕy1	
疏	səu1	
疑	i2	
療	tin1	
療	liɑu2	
疚	tɕiəu5	
瘧	ȵio7	
瘍	iɑŋ2	
疤	pa1	
瘡	tɕʰyɑŋ1	
瘋	foŋ1	
疲	pʰi2	
疵	tsʰɿ1	
疹	tsən3	
疼	tʰən2	
疽	tan3	
疾	tɕi7	
病	pʰin1	
症	tsən5	
痊	tɕʰyan2	
痒	iɑŋ3	
痔	tsɿ5	
痕	xən2	
痘	tʰəu1	
痛	tʰoŋ5	
痞	pʰi3	
痣	tsɿ5	
痧	sa1	
癆	lɑu1	
癆	lɑu2	
痰	tʰan2	
癡	tsʰɿ1	
瘁	tsʰei5	
瘊	xiəu1	
瘌	la7	
瘟	uən1	
瘤	liəu2	
瘦	səu5	
瘩	ta7	
癟	pie7	
癱	tʰan1	
瘴	tsɑŋ5	
瘸	tɕʰyæ2	
癮	in3	
癌	iai2	
癩	lai1	
癬	ɕiɛn3	
癲	tiɛn1	
登	tən1	
白	pʰæ1	
百	pæ7	
皂	tsʰɑu1	
的	ti7	
皆	tɕiai1	
皆	tɕie7	
皇	xuɑŋ2	
皓	xɑu5	
皖	uon3	
皙	ɕi1	
皮	pʰi2	
皴	tsʰən1	
皿	min3	
盆	pʰən2	
盈	in2	
益	i7	
盞	tsan3	
鹽	iɛn2	
監	tɕiɛn1	
盒	xo1	
盔	kʰuei1	
盖	kai5	
盜	tʰɑu1	
盤	pʰon2	
盛	tsʰən2	
盛	sən5	
盟	moŋ2	
盥	kuan5	
目	mu7	
盯	tin1	
盲	mɑŋ2	
直	tsʰɿ1	
相	ɕiɑŋ1	
相	ɕiɑŋ5	相机
盼	pʰan5	
盾	tən5	
省	ɕin3	
眉	mei2	
看	kʰon1	
瞘	kʰiəu1	
眙	tsʰɿ1	
真	tsən1	
眠	miɛn2	
眨	tsa3	
眩	ɕyan5	
眯	mi1	
眶	kʰuɑŋ1	
眷	tɕyan5	
眺	tʰiɑu5	
着	tsʰo1	～火
着	tso7	
睃	so1	
睛	tɕin1	
睡	ɕyei5	
督	təu7	
睦	mu7	
睬	tsʰai3	
睹	təu3	
睿	yei5	
瞄	miɑu1	
瞅	tsʰəu3	
瞌	kʰo7	
瞎	xa7	
瞒	mon2	
瞥	pʰie3	
瞩	tɕy3	
瞪	tən1	
瞪	liɑu1	
瞪	tən5	
瞬	ɕyn5	
瞳	tʰoŋ2	
瞻	tsan1	
瞿	tɕʰy2	
矇	moŋ2	
矗	tɕʰy7	
矛	mɑu2	
矜	tɕin1	
矢	sɿ3	
知	tsɿ1	
短	ton3	
矮	ŋai3	
礬	fan2	
礦	kʰuɑŋ5	
碼	ma3	
砂	sa1	
砌	tɕʰi7	
砍	kʰan3	
砒	pʰi1	
研	ȵiɛn2	白
研	iɛn2	
磚	tɕyan1	
硯	iɛn5	
砝	fa7	
砧	tsən1	
砰	pʰoŋ1	
破	pʰo5	
砸	tsa7	
礫	so7	
礎	tsʰəu3	
硅	kuei1	
硒	ɕi1	
碩	so7	
硫	liəu2	
硫	kuən3	
硬	ŋən1	
確	tɕʰio7	的～
碉	tiɑu1	
碌	ləu7	
礙	ŋai1	
碎	sei5	
碑	pei1	
碗	uon3	
碘	tiɛn3	
碟	tie7	
碧	pi7	
碰	pʰoŋ5	
鹼	tɕiɛn3	
碳	tʰan5	
碴	tsʰa1	
碾	ȵiɛn3	
磁	tsʰɿ2	
磅	pɑŋ5	
磊	lei3	
磋	tsʰo1	
磐	tɕʰin5	
磕	kʰo7	
磨	mo2	
磷	lin2	
磺	xuɑŋ2	
示	sɿ5	
禮	li3	
社	sæ1	
祁	tɕʰi2	
祈	tɕʰi3	
祖	tsəu3	
祖	tʰan3	
祛	tɕʰy1	
祝	tɕy1	
神	sən2	
祟	sei5	
祠	tsʰɿ2	
祥	ɕiɑŋ2	
票	pʰiɑu5	
祭	tɕi5	
禱	tɑu3	
禍	xo5	
禁	tɕin5	
禄	ləu7	
禪	tsʰan2	
福	fu7	
禧	ɕi3	
离	li2	
禽	tɕʰin2	
禾	xo2	
秀	ɕiəu5	
私	sɿ1	
禿	tʰəu7	
秆	kon3	
秉	pin3	
秋	tɕʰiəu1	
種	tsoŋ3	
種	tsoŋ5	种地
科	kʰo1	
秒	miɑu3	
秘	mi7	
租	tsəu1	
秤	tsʰən5	
秦	tɕʰin2	
秧	iɑŋ1	
秩	tsɿ7	
積	tɕi1	
稱	tsʰən1	
稱	tsʰən5	
移	i2	
穢	xuei5	
稀	ɕi1	
程	tsʰən2	
稍	sɑu1	
稅	ɕyei5	
稗	pʰa1	
稚	tsɿ5	
穌	səu1	
穩	uən3	
稻	tʰɑu1	
稼	tɕia1	
稽	tɕi1	
稿	kɑu3	
穆	mu7	
穗	sei5	
穴	ɕyæ7	
窮	tɕʰioŋ2	
空	kʰoŋ1	
空	kʰoŋ5	
穿	tɕʰyan1	
突	tʰəu7	
竊	tɕʰie7	
竅	tɕʰiɑu5	
窑	iɑu2	
窒	tsɿ5	
窕	tʰiɑu2	
窗	tɕʰyɑŋ1	
窘	tɕioŋ3	
竄	tsʰon5	
窩	uo1	
窟	kʰu1	
窺	kʰuei1	
立	tɕʰiɑŋ2	
立	li7	
豎	ɕy1	
站	tsan5	
競	tɕin5	
竟	tɕin5	
章	tsɑŋ1	
竣	tɕyn5	
童	tʰoŋ2	
竭	tɕie7	
端	ton1	
竹	tɕy7	
竿	kon1	
笆	pa1	
笋	sən3	
笑	ɕiɑu5	
笔	pi7	
笛	tʰi1	
笠	li1	
符	fu2	
笨	pʰən1	
第	tʰi1	
籠	loŋ2	鸟笼
籠	loŋ3	笼罩
等	tən3	
筋	tɕin1	
筏	fa7	
筐	kʰuɑŋ1	
筑	tɕy7	
筒	tʰoŋ3	
答	ta7	
策	tsʰæ7	
篩	sai1	
箏	tsən1	
筲	sɑu1	
筵	iɛn1	
筷	kʰuai5	
籌	tsʰəu2	
签	tɕʰiɛn1	
簡	tɕiɛn3	
箍	ku1	
算	son5	
管	kon3	
簫	ɕiɑu1	
箬	ȵio7	
箱	ɕiɑŋ1	
篆	tɕyan5	
篇	pʰiɛn1	
簍	ləu3	
篙	kɑu1	
篙	soŋ1	
篡	tsʰon5	
籃	lan2	
篱	li2	
篷	pʰoŋ2	
篾	mie7	
簧	xuɑŋ2	
簪	tsan1	
簸	po3	
簿	pʰu1	
籍	tɕi7	
米	mi3	
类	lei1	
籽	tsɿ3	
粉	fən3	
粑	pa1	
粒	li1	
粗	tsʰəu1	
粘	tsan1	
粤	yæ7	
粥	tɕy7	
糞	fən5	
糧	liɑŋ2	
粱	liɑŋ2	
粳	kən3	
粹	tsʰei5	
糉	tsoŋ5	
精	tɕin1	
糝	sæ7	饭～子:饭粒
糊	xu2	
糕	kɑu1	
糖	tʰɑŋ2	
糙	tsʰɑu1	
糜	mi2	
糟	tsɑu1	
糠	kʰɑŋ1	
糯	no1	
系	ɕi1	院系
系	tɕi5	
紊	uən3	
素	səu5	
索	so7	
緊	tɕin3	
紫	tsɿ3	
累	lei1	劳累
累	lei3	累积
累	luei3	积累
繁	fan2	
纂	tson3	
糾	tɕiəu1	
紅	xoŋ2	
纤	tɕʰiɛn1	
約	io7	
級	kuei5	
級	tɕi7	
紀	tɕi5	
紉	zən1	
緯	uei3	
純	ɕyn2	
紗	sa1	
綱	kɑŋ1	
納	na7	
縱	uan2	
縱	tsoŋ5	
紛	fən1	
紙	tsɿ3	
紋	uən2	
紡	fɑŋ3	
紐	ȵiəu3	
線	ɕiɛn5	
練	liɛn1	
組	tsəu3	
紳	sən1	
細	ɕi5	
織	tsɿ1	
終	tsoŋ1	
絆	pʰan5	
紹	sɑu1	
繹	i1	
經	tɕin1	
綁	pɑŋ3	
絨	zoŋ2	
結	tɕie7	
繞	zɑu1	
繪	xuei1	
給	kie3	
絢	ɕyan5	
絡	lo7	
絕	tɕʰie1	
絞	lin2	
絞	tɕiɑu3	
統	tʰoŋ3	
統	tsʰoŋ5	
繡	ɕiəu5	
繼	tɕi5	
綽	tsʰo7	
繩	sən2	
維	uei2	
綿	miɛn2	
绷	poŋ1	绷带
绷	poŋ3	绷着脸
綢	tsʰəu2	
綜	tsoŋ1	
綠	ləu7	
綴	tɕyei5	
緬	miɛn3	
纜	lan3	
緞	ton5	
緩	xon3	
縷	ly3	
編	piɛn1	
緣	yan2	
縫	foŋ1	门缝
縫	foŋ2	缝纫
纏	tsʰan2	
繽	pin1	
縹	pʰiɑu2	
縮	so7	
繳	tɕiɑu1	
缸	kɑŋ1	
缺	tɕʰyæ7	
罄	tɕʰin5	
罐	kon5	
网	uɑŋ3	
罕	xan3	
羅	lo2	
罰	fa1	
罷	pa5	
罩	tsɑu5	
罪	tsʰei1	
置	tsɿ5	
署	ɕy3	
羈	tɕi1	
羊	iɑŋ2	
羌	tɕʰiɑŋ1	
美	mei3	
羔	kɑu1	
羚	lin2	
羞	ɕiəu1	
羡	ɕiɛn5	
羣	tɕʰyn2	
羹	kən1	
羽	y3	
羿	i5	
翁	uoŋ1	
翅	tsʰɿ5	
翔	ɕiɑŋ2	
翹	tɕʰiɑu5	
翠	tsʰei5	
翡	fei3	
翩	pʰiɛn1	
翻	fan1	
耀	iɑu5	
老	lɑu3	
考	kʰɑu3	
者	tsæ3	
耍	ɕya3	
耐	nai1	
耖	tsʰɑu5	
耗	xɑu5	
耘	yn2	
耙	pʰa2	
耳	æ3	
耷	ta7	
聳	soŋ3	
恥	tsʰɿ3	
耽	tan1	
耽	tan5	
耿	kən3	
聶	ȵie7	
聆	lin2	
聊	liɑu2	
聾	loŋ2	
職	tsʰɿ1	
聯	liɛn2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰoŋ1	
肅	səu7	
肆	sɿ5	
肇	tsɑu5	
肉	zəu7	
肋	nei1	
肌	tɕi1	
肖	ɕiɑu1	
肘	tsəu3	
肚	təu3	
肛	kɑŋ1	
肝	kon1	
腸	tsʰɑŋ2	
股	ku3	
肤	fu1	
肤	kuɑŋ1	
肥	fei2	
肩	tɕiɛn1	
肪	fɑŋ2	
肯	kʰən3	
育	y1	
肴	iɑu2	
肺	fei5	
腎	sən5	
腫	tsoŋ3	
脹	tsɑŋ5	
胃	uei5	
膽	tan3	
背	pʰei1	背诵
背	pei5	背部
胎	tʰai1	
胖	pʰɑŋ1	胖头鱼
胖	pʰɑŋ5	
胚	pʰei1	
勝	sən5	
胞	pɑu1	
胡	xu2	
朧	loŋ2	
胭	iɛn1	
胯	kʰua5	
膠	tɕiɑu1	
胸	ɕioŋ1	
能	nən2	
脂	tsɿ1	
脆	tsʰei5	
脉	mai1	
脉	mæ7	
脊	tɕi7	
脏	tsɑŋ1	
臍	tɕʰi2	
腦	nɑu3	
膿	noŋ2	
脖	po7	
腳	tɕio7	
脯	pʰu3	
脫	tʰo7	
臉	liɛn3	
脾	pʰi2	
腆	tʰiɛn3	
臘	la7	
腋	ie7	
腌	iɛn1	
腌	tɕyn1	
腐	fu3	
腔	tɕʰiɑŋ1	
腥	ɕin1	
腮	sai1	
腰	iɑu1	
腹	fu7	
腺	ɕiɛn5	
膩	ȵi5	
靦	miɛn3	
騰	tʰən2	
腿	tʰei3	
膀	pʰɑŋ2	膀胱
膀	pɑŋ3	
膊	po7	
膏	kɑu1	
膛	tʰɑŋ2	
膜	mo2	
膨	pʰoŋ2	
膳	san5	
臀	tʰən2	
臃	ioŋ1	
臊	sɑu1	腥臊
臊	sɑu5	害臊
臟	tsɿ1	食用油变质
臣	tsʰən2	
自	tsʰɿ1	
臭	tsʰəu5	
至	tsɿ5	
致	tsɿ5	
臼	tɕiəu5	
舀	iɑu3	
舅	tɕʰiəu1	
舌	sæ1	
