#漢字	音標	解釋
至	tʂʅ5	
臻	tʂə̃1	
臼	tɕiəu5	
舀	iɔo1	
舂	tʂʰuə̃1	～米
舅	tɕiəu5	
舌	ʂʌʔ7	
舍	ʂɨᴇ5	
舒	ʂu1	
舔	tʰiã1	
舜	ʂuə̃5	
舞	u1	
舟	tʂei1	
航	xʌ̃2	
般	pã1	
艦	tɕiã5	
舵	tuə5	
船	tʂʰuã2	
良	liʌ̃2	
艱	tɕiã1	
色	sʌʔ7	
艳	iã5	
艾	ŋɛe5	
節	tɕiəʔ7	
芋	y5	
芍	ʂʌʔ7	～药花
芒	muə2	
芙	fu2	
芥	tɕie5	
蘆	lei2	～苇
芬	fə̃1	
芭	pɑ1	
芮	ʐuei5	姓
花	xuɑ1	
芳	fuə1	
芹	tɕʰiə̃2	
芽	ȵiɑ2	
葦	vei1	芦～
莧	ɕiã5	～菜
蒼	tsʰʌ̃1	
苏	sei1	
苔	tʰɛe1	舌～
苗	miɔo2	
苟	kiəu1	
若	ʐʌʔ7	
苦	kʰu1	
苧	tʂu5	～麻
英	iə̃1	
茂	mɔo5	
范	fã5	
茄	tɕʰɨᴇ2	
茅	mɔo2	
莖	tɕiə̃1	
繭	tɕiã1	
茫	muə2	
茬	tsʰɑ2	
茲	tsɿ1	
茴	xuei2	～香
茶	tsʰɑ2	
荀	ɕyə̃2	
荆	tɕiə̃1	
草	tsʰɔo1	
薦	tɕiã5	
荒	xuə1	
荔	li5	～枝
蕎	tɕʰiɔo2	
蕩	tʌ̃5	放～
榮	yə̃2	
葷	xuə̃1	
荫	iə̃1	
藥	iəʔ7	
荷	xɨᴇ1	薄～
荷	xɨᴇ2	～花
莊	tʂuə1	
莎	sɑ1	～草
莝	tsʰəʔ7	～草
莠	iəu5	
莫	məʔ7	
获	xuʌʔ7	
瑩	iə̃2	
鶯	iə̃1	
蓴	tʂʰuə̃2	～菜
莽	muə1	
菌	tɕyə̃1	
菖	tʂʰʌ̃1	～蒲
菜	tsʰɛe5	
菠	pɨᴇ1	～菜
菢	pu5	～小鸡
菩	pʰu2	～萨
菱	liə̃2	
萄	tʰɔo2	
萌	mə̃2	
萍	pʰiə̃2	
萎	vei1	
營	iə̃2	
蕭	ɕiɔo1	
薩	sɑ5	
落	tʌʔ7	
著	tʂu5	
葚	ʂə̃5	桑～
葛	kʌʔ7	
董	tuə̃1	
葫	xu2	～芦
葬	tsʌ̃5	
葱	tsʰuə̃1	
葵	kʰuei2	
蔣	tɕiʌ̃1	
蒙	mə̃2	
蒜	suã5	
蒯	kʰuɛe1	
蒲	pʰu2	
蒸	tʂə̃1	
蒿	xɔo1	蓬～
蓄	ɕyəʔ7	储～
蓉	ʐyə̃2	芙～
蓋	kɛe5	
蓑	suə1	
蓖	pi5	～麻
藍	lã2	
蓬	pʰə̃2	
蔓	vã5	瓜～子
蔗	tsʰɨᴇ1	
蔡	tsʰɛe5	
蔫	iã1	花～了
蔬	sei1	
藹	ŋɛe1	
蔽	pi5	
蕉	tɕiɔo1	
蕊	ʐuei1	
薄	puə5	～荷
薅	xɔo1	
薛	ɕyəʔ7	
薪	ɕiə̃1	
薯	ʂu1	白～
薰	ɕyə̃1	
藉	tɕie5	～故
藉	tɕiəʔ7	狼～
藋	tiɔo5	灰～菜
藏	tsʰʌ̃2	隐～
藏	tsʌ̃5	西～
藐	miɔo1	
藕	ŋiəu1	
藤	tʰə̃2	
藩	fã1	
藿	xuəʔ7	～香
蘸	tsã5	～酱油
虎	xu1	
虜	lei1	
虐	niəʔ7	
虑	luei5	
虔	tɕʰiã2	
虛	ɕy1	
虞	y2	
蟲	tʂʰuə̃2	
虱	sʌʔ7	
虹	xuə̃2	
虹	tɕiʌ̃5	天上的～
雖	suei1	
蝦	ɕiɑ1	鱼～
蝕	ʂəʔ7	
蟻	i1	
蚊	və̃2	
蚌	puə5	
蠶	tsʰã2	
蚣	kuə̃1	蜈～
蚤	tsɔo1	
蛀	tʂu5	
蛆	tɕʰy1	
蛇	ʂɨᴇ2	
蛋	tã5	
蛙	uɑ1	
蛛	tʂu1	
蛤	xʌʔ7	～蜊
蠻	mã2	
蟄	tsəʔ7	惊～
蛾	ŋɨᴇ2	
蜀	ʂuəʔ7	
蜂	fə̃1	
蜇	tʂʌʔ7	～人
蜈	u2	～蚣
蜘	tʂʅ1	
蜜	miəʔ7	
蜻	tɕʰiə̃1	～蜓
蠅	iə̃2	
蟬	tʂʰã2	
蝎	tʂʌʔ7	～子
蝎	ɕiəʔ7	
蝗	xuə2	
蝙	piã1	
蝟	vei5	
蝠	fəʔ7	蝙～
蝶	tiəʔ7	
螃	pʰuə2	～蟹
融	ʐyə̃2	
螳	tʰʌ̃2	～螂
蟀	ʂuɛe5	蟋～
蟆	mɑ2	蛤～
蟒	muə1	
蟢	ɕi1	～子
蟹	ɕie5	
蟾	tʂʰã2	～蜍
蠢	tʂʰuə̃1	
血	ɕyəʔ7	
衅	ɕiə̃5	挑～
行	xʌ̃2	～列
行	ɕiə̃2	～为
銜	ɕiã2	
街	tɕie1	
衙	ȵiɑ2	
衡	xə̃2	
衣	i1	
補	pu1	
表	piɔo1	
衫	sã1	
襯	tʂʰə̃5	
袁	yã2	
襖	ŋɔo1	
袋	tɛe5	
袍	pʰɔo2	刨～地
袖	ɕiəu5	
袜	vʌʔ7	
被	pi5	～子，～迫
襲	ɕiəʔ7	
裁	tsʰɛe2	
裂	liəʔ7	
裝	tʂuə1	
裕	yəʔ7	
裙	tɕʰyə̃2	
褲	kʰu5	
裥	tɕiã1	
裳	ʂʌ̃1	衣～
裴	pʰei2	
裸	luə1	
裹	kuə1	
褂	kuɑ5	
褒	pɔo1	～奖
褚	tʂu1	
褥	ʐuʌʔ7	
褪	tʰuei5	
褯	tɕie5	～子
褿	tsʰɔo2	某地方脏了统称为褿，包括衣服、家里地上等
襄	ɕiʌ̃1	
襟	tɕiə̃1	衣～
襻	pʰã5	
西	ɕi1	
要	iɔo1	～求
要	iɔo5	想～
覆	fəʔ7	反～
見	tɕiã5	
觀	kuã1	参～
規	kuei1	
覓	miəʔ7	
視	sɿ5	
覽	lã1	
覺	tɕiɔo5	睡～
覺	tɕyəʔ7	知～
角	tɕiʌʔ7	牛～
解	tɕie1	讲～，～开，～脱
解	ɕie5	姓～
觸	tʂʰuəʔ7	
言	ȵiã2	
註	tʂu5	
詠	yə̃1	
誇	kʰuɑ1	
譽	y5	荣～
謄	tʰə̃2	
誌	tsɿ5	
誓	ʂʅ5	
警	tɕiə̃1	
譬	pi5	
計	tɕi5	
訃	fu5	
認	ʐə̃5	
討	tʰɔo1	
讓	ʐʌ̃5	
訓	ɕyə̃5	
議	i5	
訊	ɕiə̃5	
記	tɕi5	
講	tɕiʌ̃1	
諱	xuei5	
許	ɕy1	
訛	ŋɨᴇ2	
論	luə̃2	～语
論	luə̃2	
論	luə̃5	
訟	suə̃5	
諷	fə̃1	
設	ʂʌʔ7	
訪	fuə1	
訣	tɕyəʔ7	
证	tʂə̃5	
評	pʰiə̃2	
識	ʂəʔ7	
詐	tsɑ5	
訴	sei5	
詞	tsʰɿ2	
詔	tʂɔo5	
譯	iəʔ7	
試	sɿ5	
詩	sɿ1	
誠	tʂʰə̃2	
誅	tʂu1	
話	xuɑ5	
誕	tã5	
詭	kuei1	
該	kɛe1	
詳	ɕiʌ̃2	
誣	u5	～告
語	y1	
誤	u5	
誘	iəu5	
說	ʂuəʔ7	
誦	suə̃5	
請	tɕʰiə̃1	
諸	tʂu1	
諾	nuə5	
讀	tuəʔ7	
諑	tuəʔ7	
課	kʰuə5	
誰	ʂu2	
調	tʰiɔo2	～和
調	tiɔo5	音～，～动
談	tʰã2	
謀	mu2	
諜	tiəʔ7	
謊	xuə1	
諫	tɕiã5	
諧	ɕie2	
謂	vei5	
讒	tsʰã2	
諺	ȵiã5	
謎	mi2	
謝	ɕie5	
謠	iɔo2	
謗	puə5	
謙	tɕʰiã1	
謹	tɕiə̃1	
謾	mã5	
譚	tʰã2	
譜	pʰu1	
谷	kuəʔ7	
豁	xuʌʔ7	
豆	tei5	
豇	tɕiʌ̃1	～豆
豉	tsʰɿ1	豆～
豌	vã1	～豆
豚	tʰuə̃2	
象	ɕiʌ̃5	
豪	xɔo2	
豫	y5	
豹	pɔo5	
豺	tsʰɛe2	
貝	pei5	
貞	tʂə̃1	
負	fu5	
貢	kuə̃5	
責	tsəʔ7	
賢	ɕiã2	
敗	pɛe5	
貨	xuə5	
質	tʂʌʔ7	
販	fã5	
貪	tʰã1	
貧	pʰiə̃2	
貶	piã1	
購	kiəu5	
貫	kuã5	
貳	ɚ5	～心
貼	tʰiəʔ7	
貴	kuei5	
貸	tɛe5	
貿	mɔo5	
費	fei5	～用
賀	xɨᴇ2	
賊	tsei2	
賈	tɕiɑ1	姓～
賄	xuei5	
賃	liə̃5	租～
賂	lei5	
贓	tsʌ̃1	
資	tsɿ1	
賒	ʂɨᴇ1	
賦	fu5	
賭	tu1	
贖	ʂuəʔ7	
賞	ʂʌ̃1	
賜	tsʰɿ5	
賴	lɛe5	
贅	tʂuei5	
賺	tsuã5	
賽	sɛe5	
赞	tsã5	
贈	tsə̃5	
贏	i2	～了
贏	iə̃2	输～
赤	tʂʰəʔ7	
赦	ʂɨᴇ5	
走	tsei1	
赴	fu5	
趙	tʂɔo5	
趕	kã1	
起	tɕʰi1	
趁	tʂʰə̃5	
超	tʂʰɔo1	
越	yəʔ7	
趨	tɕʰy1	
趟	tʰʌ̃5	
趣	tɕʰy5	
足	tɕyəʔ7	
趾	tsɿ1	
躍	iɔo5	跳～
跌	tiəʔ7	
跑	pʰɔo1	
跗	fu1	～面
跛	pɨᴇ1	～足
距	tɕy5	
跟	kə̃1	
跨	kʰuɑ5	
跪	kuei5	
路	lei5	
跳	tʰiɔo5	
踐	tɕiã5	
踏	tʰʌʔ7	
踒	uə1	
踢	tʰiəʔ7	
踱	tu5	～步
蹄	tʰi2	
蹑	ȵiəʔ7	～脚走
蹭	tsʰə̃5	磨～
蹲	tuə̃1	
躁	tsʰɔo5	
身	ʂə̃1	
躬	kuə̃1	
躲	tuə1	
躺	tʰʌ̃1	
車	tɕy1	～马炮
車	tʂʰɨᴇ1	马～
軋	ȵiɑ5	～棉花
軋	tsʌʔ7	
軌	kuei1	
軒	ɕyã1	
轉	tʂuã1	
轉	tʂuã5	～圈
輪	luə̃2	
軟	ʐuã1	
轟	xuə̃1	
軸	tʂei2	
輕	tɕʰiə̃1	～重
載	tsɛe1	年～，满～
載	tsɛe5	～重
轎	tɕiɔo5	
較	tɕiɔo5	
輔	fu1	
輛	liʌ̃5	
輦	ȵiã1	
輝	xuei1	
輜	tsɿ1	～重
輯	tɕiəʔ7	
輸	ʂu1	～赢，运～
轅	yã2	
轄	ɕiʌʔ7	管～
轍	tʂʌʔ7	
辛	ɕiə̃1	
辭	tsʰɿ2	
辟	piəʔ7	
辣	lʌʔ7	
辨	piã5	
辯	piã5	
辮	piã5	
辰	tʂʰə̃2	
辱	ʐuʌʔ7	
邊	piã1	
遼	liɔo2	
达	tʌʔ7	
迁	tɕʰiã1	
迂	y1	
迅	ɕyə̃5	
過	kuə5	
邁	mɛe5	表抽象意义
迎	iə̃2	
運	yə̃5	
近	tɕiə̃5	
還	xã2	～有
還	xuã2	～原
進	tɕiə̃5	
遠	yã1	
違	vei2	
遲	tʂʰʅ2	
迥	tɕyə̃1	～然不同
迫	pʰiəʔ7	
述	ʂuəʔ7	
迷	mi2	
迹	tɕiəʔ7	
追	tsuei1	
退	tʰuei5	
送	suə̃5	
適	ʂəʔ7	
逃	tʰɔo2	
逆	ȵiʌʔ7	～境
選	ɕyã1	
遜	ɕyə̃5	
透	tʰei5	
逐	tʂuəʔ7	～鹿
遞	ti5	
途	tʰu2	
逗	tei5	
通	tʰuə̃1	
逛	kuə5	
逝	ʂʅ5	
逞	tʂʰə̃1	～能
速	suəʔ7	
造	tsɔo5	
逢	fə̃2	
逵	kʰuei2	
逶	vei1	
逸	iəʔ7	
逼	piəʔ7	
逾	y2	
遁	tuə̃5	
遂	suei5	
遇	y5	
遍	piã5	一～
遐	ɕiɑ2	
道	tɔo5	
遺	i2	
遣	tɕʰiã1	
遭	tsɔo1	
遮	tsʰɨᴇ1	
遵	tsuə̃1	
避	pi5	
邀	iɔo1	
邑	iəʔ7	
邓	tə̃5	
那	nɑ5	
邦	puə1	
邪	ɕie2	
郵	iəu2	
邵	ʂɔo5	
鄒	tsei1	
鄰	liə̃2	
郁	y5	
郊	tɕiɔo1	
郎	lʌ̃2	
鄭	tʂə̃5	
郡	tɕyə̃5	
部	pu5	
郭	kuəʔ7	
都	tu1	～城
都	tei1	～是
鄙	pi5	
酉	iəu1	
酌	tʂuəʔ7	
配	pʰei5	
酒	tɕiəu1	
酣	xã1	
酥	sei1	
酪	lɔo5	
酬	tsʰei2	
醬	tɕiʌ̃5	
酵	tɕiɔo5	
酷	kʰu5	
酸	suã1	
釀	niʌ̃5	
醇	tʂʰuə̃2	酒味～
醉	tsuei5	
醋	tsʰei5	
醒	ɕiə̃1	
釉	iəu5	
釋	ʂəʔ7	
里	li1	
重	tʂʰuə̃2	
重	tʂuə̃5	轻～
野	ie1	
量	liʌ̃2	～长短
量	liʌ̃5	数～
金	tɕiə̃1	
釜	fu1	
鏨	tsã5	～花
鏊	ŋɔo5	
鑑	tɕiã5	
针	tʂə̃1	
釘	ti1-	～子
釣	tiɔo5	
釵	tsʰɛe1	
鈍	tuə̃5	
鈔	tsʰɔo1	
钟	tʂuə̃1	
鋼	kʌ̃1	
鋼	kʌ̃5	刀钝了，～～
鑰	iəʔ7	～匙
欽	tɕʰiə̃1	
鈞	tɕyə̃1	
鉤	kiəu1	
錢	tɕʰiã2	
鉗	tɕʰiã2	
鉢	puə1	
鑽	tsuã5	
鐵	tʰiəʔ7	
鈴	liə̃2	
鉛	tɕʰiã1	
鐃	nɔo2	
鐺	tʌ̃1	电饼～
銅	tʰuə̃2	
鍘	sʌʔ7	～刀
鏵	xuɑ2	
铲	tsʰã1	
銀	iə̃2	
鑄	tʂu5	
鋪	pʰu1	～设
鋪	pʰu5	店～
銷	ɕiɔo1	
鎖	suə1	
鋥	tsə̃5	～光
鋤	sei2	～头
鍋	kuə1	
鏽	ɕiəu5	铁～
銼	tsʰəʔ7	
鋒	fə̃1	
鐧	tɕiã5	车～
錯	tsʰuə5	～误
錨	mɔo2	
錫	ɕiəʔ7	
錮	kəʔ7	～露锅
鑼	lɨᴇ2	
錘	tsʰuei2	
錐	tsuei1	
錦	tɕiə̃1	
鍵	tɕiã5	
鋸	tɕy5	～子
鍬	tɕʰiã1	
鍛	tuã5	～炼
鍍	tu5	
鎮	tʂə̃5	
鑷	ȵiʌʔ7	～子
鎔	yə̃2	
鏡	tɕi5	～子
鏡	tɕiə̃5	明～高悬
鐙	tə̃5	
鐲	ʂuʌʔ7	手～子
長	tʂʌ̃1	生～
長	tʂʰʌ̃2	～短
門	mə̃2	
閂	ʂuã1	
閃	ʂã1	
閉	pi5	
問	və̃5	
闖	tʂʰuə1	
闲	ɕiã2	
間	tɕiã1	空～
間	tɕiã5	～或
悶	mə̃5	
閘	tsʌʔ7	
鬧	nɔo5	
閨	kuei1	
聞	və̃2	
閱	yəʔ7	
閹	iã1	
閻	iã2	
闊	kʰuʌʔ7-	开～
闊	kʰuə5=	～气
阮	ʐuã1	
防	fuə2	
陽	iʌ̃2	
陰	iə̃1	
陣	tʂə̃5	
階	tɕie1	
阻	tsei1	
阿	ɑ1	
附	fu5	
際	tɕi5	
陸	luəʔ7	
隴	luə̃1	
陳	tʂʰə̃2	
陋	lei5	
陌	mʌʔ7	～生
降	ɕiʌ̃2	～服
降	tɕiʌ̃5	
限	ɕiã5	
陝	ʂã1	～西
陛	pi5	
陡	tei1	
院	yã5	
險	ɕiã1	
陪	pʰei2	
陵	liə̃2	
陶	tʰɔo2	
陷	ɕiã5	
隆	luə̃2	
隨	suei2	
隱	iə̃1	
隔	kʌʔ7	
隘	ŋɛe5	
障	tʂʌ̃5	保～
隧	suei5	
隶	li5	
難	nã2	
難	nã5	患～
雀	tɕʰyʌʔ7	麻～
雁	iã5	
雄	ɕyə̃2	
雅	iɑ1	
集	tɕiəʔ7	
雇	ku5	
雉	tsɿ5	～鸡
雌	tsʰɿ2	
雍	yə̃1	
雕	tiɔo1	
雨	y1	
雪	ɕyəʔ7	
零	liə̃2	
雷	luei2	
雹	pɔo5	冰～
霧	u5	
需	ɕy1	
霄	ɕiɔo1	
震	tʂə̃5	
霍	xuəʔ7	
霜	ʂuə1	
霞	ɕiɑ2	
露	lei5	
霸	pɑ5	
青	tɕʰiə̃1	
靖	tɕiə̃5	
靜	tɕiə̃5	
非	fei1	
靠	kʰɔo5	
靡	mi2	
面	miã5	
革	kʌʔ7	
靴	ɕye1	
靿	iɔo5	靴～
鞋	xɛe2	
鞍	ŋã1	
鞘	tɕʰiɔo5	刀～
鞭	piã1	
韌	ʐə̃5	
韓	xã2	
韭	tɕiəu1	
音	iə̃1	
韵	yə̃5	
韶	ʂɔo2	～关
頂	ti1-	～住
頃	tɕʰiə̃1	
項	ɕiʌ̃5	
順	ʂuə̃5	
须	ɕy1	
頑	vã2	
顧	ku5	
頓	tuə̃5	
頒	pã1	
頌	suə̃5	
預	y5	
領	li1-	～子
領	liə̃1=	～导
頗	pʰɨᴇ1	
頸	tɕiə̃1	
頻	pʰiə̃2	
穎	iə̃1	
顆	kʰuə1	
題	tʰi2	
顏	ȵiã2	
額	ŋʌʔ7	
顛	tiã1	
顫	tʂʰã5	
顴	tɕʰyã2	～骨
風	fə̃1	
颼	sei1	
飄	pʰiɔo1	
飛	fei1	
食	ʂəʔ7	
餐	tsʰã1	
饥	tɕi1	～饿
饥	tɕi1	～荒
飯	fã5	
飲	iə̃1	～酒
飲	iə̃5	～马
餞	tɕiã5	～行
飾	ʂəʔ7	
飽	pɔo1	
飼	sɿ5	
飴	i2	高粱～
餌	ɚ1	
饒	ʐɔo2	
餉	ɕiʌ̃1	
餃	tɕiɔo1	
餅	piə̃1	
餑	pəʔ7	面～
餓	ŋɨᴇ5	
餜	kuə1	
餛	xuə̃2	～饨
餛	tʰuə̃5	～饨
餡	ɕiã5	
館	kuã1	
餿	sei1	
饃	mɨᴇ1	
餾	liəu5	
饅	mã2	
首	ʂei1	
香	ɕiʌ̃1	
馨	ɕiə̃1	
騇	ʂɨᴇ5	母的牛马
馬	mɑ1	
馱	tʰɨᴇ2	
馱	tɨᴇ5	～子
馳	tʂʰʅ2	
驅	tɕʰy1	
駁	pʌʔ7	
驢	luei2	
駛	sɿ1	
駒	tɕy1	
駐	tʂu5	
駝	tʰɨᴇ2	
駕	tɕiɑ5	
驛	i5	
罵	mɑ5	
驕	tɕiɔo1	
駱	luʌʔ7	
駭	xɛe5	惊～
驗	iã5	
騎	tɕʰi2	
騙	pʰiã5	
騷	sɔo1	
騾	lɨᴇ2	
驟	tsei5	
骨	kəʔ7-	～头
骨	kuəʔ7	
髓	suei2	
高	kɔo1	
髻	tɕi5	
鬢	piə̃5	
鬮	tɕiəu1	
鬼	kuei1	
魁	kʰuei2	
魂	xuə̃2	
魄	pʰiəʔ7	
魏	vei5	
魚	y2	
魯	lei1	
鮑	pɔo5	～鱼，姓
鮮	ɕiã1	
鯉	li1	
鯽	tɕi5	～鱼
鯰	miã2	～鱼
鯨	tɕiə̃1	
鰓	sɛe5	鱼～
鰭	tɕʰi2	
鰥	kuã1	～寡
鰾	piɔo5	鱼～
鱉	piəʔ7	
鱗	liə̃2	
鳥	ȵiɔo1	
鳩	tɕiəu1	
雞	tɕi1	
鴉	iɑ1	
鸕	lei2	～鹚
鴨	ȵiʌʔ7	
鴿	kʌʔ7	
鸞	luã2	
鴻	xuə̃2	
鵝	ŋɨᴇ2	
鵡	u1	
鵲	tɕʰiəʔ7	喜～
鷂	iɔo5	～鹰
鸚	iə̃1	～鹉
鷺	lei5	
鹿	luəʔ7	
麝	ʂɨᴇ5	～香
麥	miəʔ7	
麩	fu1	麦～子
麻	mɑ2	
麾	xuei1	
黃	xuə2	
黍	ʂu1	
黎	li2	
黏	ȵiã2	～米
默	miəʔ7	
鼠	ʂu1	
鼬	iəu5	
鼻	piəʔ7	
鼾	xã1	～声
齊	tɕʰi2	
齒	tsʰɿ1	
龍	luə̃2	
龜	kuei1	
