#漢字	音標	解釋
找	tsau3	
承	tsən2	
技	tɕi6	
抄	dzʱɔo1	～寫
把	pa3	～握；～守；～柄
抑	i7	
抓	tsa1	
投	tau2	
抖	tau3	
抗	ɡʱɔŋ5b	
折	tsø7	
抨	lø8	
披	bʱi1	
抱	pɔo6	
抵	ti3	
抹	ma7	～布；～桌子
抹	mɛ7	
押	ŋe7	
抽	dzʱəu1	
抿	min3	
拄	ɡʱy6	～拐杖
拆	dzʱe7	
拇	mo3	
拈	ȵiẽ2	～起來
拉	la1	
拋	bʱo1	
拌	pən6	
拍	bʱø7	
拎	lin2	
拐	kuɛ3	
拒	ky6	
拓	dʱa7	～本
拔	pɛ7	
拖	dʱo1	
拘	ky1	
拙	tso7	
拚	bʱiaŋ1-	
拚	bʱin1=	
招	tsau1	
拜	pɛ5a	
括	kua7	
拯	tsən2	
拱	kəŋ3	
拳	kuø̃2	
拴	sã1	
拷	ɡʱɔo3	
拼	bʱin1	
拾	sɿ7	～起來
拿	la8	
持	tsɿ2	
指	tsɿ3	
按	ŋã5a	
挑	dʱiau1	
挖	ua7	
挨	ŋai1	
挪	lo2	
挫	dzʱo5b	
振	tsən5a	
挺	dʱin3=	
挽	vã3	
挾	kɛ7	～菜
捅	dʱəŋ3	
捆	ɡʱuen3	
捉	tso7	
捎	sau1	～帶
捏	ȵi7	
捐	kuø̃1	
捕	po6	
捧	bʱəŋ3	
捨	sa3-	～得
捨	sø3=	
捱	ŋɛ2	
捲	kuø̃3	～起
捷	dʑʱi7	
捺	la7	撇～
掀	ɕiẽ1	
掂	tiẽ1	～量
掃	sɔo3	～地
掃	sɔo5a	～帚
授	səu6	
掉	tiau5a	
掌	tsɔŋ3	
掏	tɔo2	～出來
掐	ɡʱa1	
排	bʱai2	
掘	kuø7	
掛	kua5a	
掠	lio7	
探	dʱã5b	試～
探	dʱø̃5b	
接	tɕi7	
控	ɡʱəŋ5b	
推	dʱe1	
掩	iẽ3	
措	dzʱo5b	～置
掮	tɕiẽ5a	
揀	tɕiẽ3	
揈	xəŋ1	
揉	iəu2	
描	miau2	
提	tia2-	
提	ti2=	
插	dzʱɛ7	
揖	i7	作～
揚	iɔŋ2	
換	fø̃6	
揞	ŋø̃5a	～住
揣	dʱø̃3	
揩	ɡʱi1	
揭	tɕi7	
揮	fei1	
援	uø̃2	～助
搉	tso7	
損	sən3	
搓	dzʱo1	
搖	iau2	
搗	tɔo3	
搛	tɕiẽ1	
搜	sau1	
搞	kɔo3	
搧	sø̃5a	
搨	dʱɛ7	
搬	pø̃1	
搭	tɛ7	
搲	ua3	～水：舀水
搶	dʑʱiɔŋ3	
搽	tsa2	
摘	tsa7-	
摘	tse7=	
摛	dzʱɿ1	～手：伸手
摞	lo3	
摟	lau3	～取；～抱
摩	mʊ2	
摳	ŋəu1	
摸	mo1	
摹	mo2	～仿
摺	tsø7	
撇	bʱi7	～捺
撈	lɔo2	
撐	dzʱən1-	
撐	dzʱaŋ1-	
撒	sɛ3	～手；～種
撓	iau2	
撓	iau3	
撕	sɿ1	
撙	tsən1	
撚	ȵiẽ3	
撞	tsɔŋ6-	
撞	dzʱɔŋ3=	
撣	tã2	
撤	dzʱø7	
撥	pø7	
撩	liau2	～起來
撫	fu3	
撮	dzʱø7	
撰	tsø̃5a	
撲	bʱʊ7	
撼	xã3	
擀	kø̃3	～麵
擁	iəŋ3	
擇	dzʱa7-	～菜
擇	dzʱe7=	
擊	tɕi7	
擋	tɔŋ3	阻～
操	dzʱɔo1	～作；～演
擎	tɕiaŋ2	
擒	tɕin2	
擔	tã1	～任
擔	tã5a	挑～
據	ky5a	
擠	tɕi3	
擡	te2	
擦	dzʱa7	
擬	ȵi7	
擱	ko7	
擲	dzʱɿ7	
擴	ɡʱo7	
擺	pai3	
擾	iau3	
攀	bʱã1	
攆	ȵiẽ3	
攏	ləŋ3	
攔	lɛ̃2	
攘	iɔŋ3	
攙	dzʱã1	
攝	se7	
攢	tsã5a	積～
攤	dʱɛ̃1	
攪	tɕiau3	
攬	lɛ̃3	
支	tsɿ1	
收	səu1	
改	kai3	
攻	kəŋ1	
放	fuɔ̃5a	
政	tsən5a	
故	ku5a	
效	ɕiau6	
敏	min3	
救	tɕiəu5a	
敗	pai6	
敘	ɕi6	
教	kau5a-	
教	tɕiau5a=	～書；～育
教	kɔo5a	～書
敝	pi5a	
敞	dzʱɔŋ3	
敢	kø̃3	
散	sã6	鞋帶～了；分～
散	sɛ̃5a	
敥	ie6	粉狀物慢慢落下來
敦	tən1	
敬	tɕin5a	
敲	ɡʱau1-	
敲	ɡʱɔo1	
敲	dʑʱiau1=	
整	tsaŋ3-	
整	tsən3=	
敵	dʱi8	
敷	fu1	
數	səu3	動詞
數	səu5a	名詞
斂	liẽ3	
斃	pi5a	
文	vən2	
斑	pã1	
斗	tau3	
料	liau6	
斜	tɕia2-	
斜	ɕie2=	
斟	tsən1	
斤	tɕin1	
斥	dzʱɿ7	
斧	fu3	
斬	tsã3	
斯	sɿ1	
新	ɕin1	
斷	tø̃6	
方	fuɔ̃1	
施	sɿ1	
旁	pɔŋ2	
旅	li3	
旋	tɕiẽ6-	頭髮旋
旋	ɕiẽ2=	
族	tsəu8	
旗	tɕi2	
既	tɕi5a	
日	ȵi8	
旦	tã5a	
旨	tsɿ3	
早	tsɔo3	
早	xø̃6	
旬	ɕin2	
旺	uɔ̃6	興～
昂	ŋɔŋ2	
昆	kuen1	
昌	dzʱɔŋ1	
明	miaŋ2-	
明	min2=	
昏	fən1	
易	i6	難～
易	i6	
昔	ɕi7	
星	ɕiaŋ1-	
星	ɕin1=	
映	iaŋ5a-	
映	in5a=	
春	ɡʱuen1	
昧	mi6	
昨	dzʱo8	
昭	tsau1	
是	si6	
時	sɿ2	
晃	fɔ̃3	
晃	fɔ̃6	～眼
晉	tɕin5a	
晌	ɕiɔŋ3	
晏	ŋã5a	
晚	vã3	
晝	tsəu5a	
晦	fei5a	
晨	sən2	
普	bʱo3	
景	tɕin3	
晴	tɕiaŋ2-	
晴	tɕin2=	
晶	tɕin1	
智	tsɿ5a	
暇	ɕia2	
暈	fən1	
暑	ɕy3	
暖	fuø̃3	
暗	ŋø̃5a	
暢	dzʱɔŋ5b	
暫	tsã6	
暮	mo6	
暴	pɔo6	
曆	li8	
曉	ɕiau3	
曝	bʱʊ7	
曠	ɡʱuɔ̃5b	
曩	lɔŋ2	
曬	sɛ5a	
曰	yø7	
曲	dʑʱiəu7	
曳	i7	
更	ken1	五～
更	ken5a	～加
書	ɕy1	
曹	tsɔo2	
曾	tsən1	姓氏
曾	tsən2	～經
替	dʱi5b	
最	tɕi5a	
會	fei6	開～；～不～
會	kuɛ5a	
月	yø7	
有	iəu3	
朋	pəŋ2	
服	fu8	
朔	so7	
朗	lɔŋ3	
望	uɔ̃6	
朝	tsau1	今～
朝	tsau2	～代
期	tɕi2	時～
朧	ləŋ2	
木	mʊ8	
未	uei6	
末	mø8	
本	pən3	
札	tsɛ7	
朮	ɕy7	白～；蒼～
朱	ky1	
朵	to3	
朽	ɕiəu3	
杆	kø̃3	
杈	dzʱa1	樹～
杉	sa1	
李	li3	
杏	ɕin6	
材	tse2	
村	dzʱən1	
杖	tsɔŋ6	
杜	təu6	
束	dzʱəu7	
杭	xɔŋ2	
杯	pe1	
東	təŋ1	
杳	miau3-	
杳	iau3=	
杷	pa1	
松	səŋ1	～緊
板	pã3	
枇	pi2	～杷
枉	uɔ̃6	
析	ɕi7	
枕	tsən3	名詞；動詞
林	lin2	
枚	mi2	
果	ko3	
枝	tsɿ1	
枯	ɡʱu1	
枵	ɕiau1	
架	ka5a-	
架	tɕia5a=	
柄	pin3	
柏	pø7	
某	miau3-	
某	məu3=	
柑	kø̃1	
染	uø̃3	
柔	iəu2	
柞	dzʱo8	
查	tsa2	調～
柬	tɕiẽ3	
柱	ky6	
柳	liəu3	
柴	tsai2	
柵	tsa7	
柿	sɿ6	
栓	sã1	
栗	li7	
校	ɕiau6	學～；～對
株	ky1	
核	xe7	
根	tɕien1-	
根	ken1=	
格	ke7	
栽	tsɛ1	
栿	fu8	
桂	kuei5a	
桃	tɔo2	
桅	uei2	
框	ɡʱuɔ̃1	
案	ŋã5a	
桌	tso7	
桐	təŋ2	
桑	sɔŋ1	
桓	uø̃2	
桶	dʱəŋ3	
桿	kø̃3	
梁	liɔŋ2	
梅	mi2	
梓	tsɿ3	
梔	tsɿ1	～子花
梗	kuaŋ3-	
梗	ken3=	
條	tiau2	
梢	sau1	樹～
梧	u2	～桐
梨	li2	
梭	so1	～布
梯	dʱi1	
械	kai5a-	
械	tɕie5a=	
梳	səu1	～頭
棄	dʑʱi7	
棉	miẽ2	
棋	tɕi2	
棍	kuen5a	
棒	xəŋ6	
棒	pɔŋ5a	
棕	tsəŋ1	
棗	tsɔo3	
棚	pəŋ2	
棟	təŋ5a	
棠	tɔŋ2	
棧	tsã6	
森	sɛ̃1	
棱	lin2	
棲	tɕi1	
棵	ɡʱo1	
棺	kuø̃1	
椅	i3	
植	dzʱɿ8	
椏	ŋa1-	～枝
椏	ia1=	
椒	tɕiau1	
椰	ie1	
椽	uø̃2	
椿	kuen1	
楂	tsa1	山～
楊	iɔŋ2	
楓	xəŋ1	
楚	dzʱəu3	
楝	liẽ6	～樹
楦	ɕiẽ1	
業	ȵie5a-	
業	ȵi8	
業	ie5a=	
極	dʑʱi8	
楷	ɡʱai3	
概	ɡʱai5b	
榔	lɔŋ2	
榕	iəŋ2	
榜	pɔŋ3	
榨	tsa5a	～油
榫	sən3	
榮	iaŋ2-	
榮	iəŋ2=	
榴	liəu2	石～
榻	dʱa7	
構	ko5a	
槌	kuei2	
槍	dʑʱiɔŋ1	
槐	fɛ2	
槓	kɔŋ5a	
槳	tɕiɔŋ3	
槽	tsɔo2	馬～
樁	tsɔŋ1	
樂	lo8	
樂	io8	音～
樓	lau2	
標	piau1	
樞	dʑʱy1	
樞	tɕiəu5a	
樟	tsɔŋ1	
模	mo2	～子；～範
樣	iɔŋ6	
樵	tɕiau2	
樸	bʱʊ7	
樹	ɕy6	
樺	fua2	～樹
橄	kø̃3	～欖
橋	tɕiau2	
橘	ky7	
橙	tsən2	
機	tɕi1	
橡	tɕiɔŋ6	
橢	dʱo3	～圓
橫	uɔ̃2-	～直：反正，總是
橫	vaŋ2-	
橫	fən2=	～豎；蠻橫
檀	tɛ̃2	
檔	tɔŋ5a	
檜	kuɛ5a	
檢	tɕiẽ3	
檳	pin1	～榔
櫃	kuei6	
櫓	ləu3	
櫥	ky2	
櫻	in1	
欄	lɛ̃2	
權	kuø̃2	
欖	lɛ̃3	橄～
欛	pa5a	
欠	dʑʱiẽ5b	
次	dzʱɿ5b	
欣	ɕin1	
欲	io7-	
欲	iəu7=	
欺	dʑʱi1	
欽	dʑʱin1	
款	ɡʱø̃3	
歇	ɕi7	
歉	dʑʱiẽ5b	
歌	ko1	
歐	ȵiau1	
歡	fuø̃1	
止	tsɿ3	
正	tsaŋ5a-	
正	tsən5a=	
此	dzʱɿ3	
步	po6	
武	vu3	
歧	tɕi2	
歪	ve1	
歲	ɕi5a	
歷	li8	
歸	kuei1	
死	sɿ3	
殃	iɔŋ1	
殆	te6	
殉	ɕin2	
殊	ɕy1	
殖	dzʱɿ8	
殘	tsɛ̃2	
殮	liẽ3	
殯	pin5a	
殲	dʑʱiẽ1	
段	tø̃6	
殷	in1	
殺	sɛ7	
殼	ɡʱo7	
殿	tiẽ6	
毀	fei3	
毅	ȵin6	
毆	ȵiau1	
母	mo3	
每	mi3	
毒	dʱəu8	
比	pi3	～較
毛	mɔo2	
毫	xɔo2	
毯	dʱã3	
氏	si6	
民	min2	
氓	məŋ2	
氣	dʑʱi5b	
水	ɕy3	
永	vən3	
汁	tsɿ7	
求	tɕiəu2	
汆	dzʱø̃1	
汗	xø̃6	
汝	y3	
汞	kəŋ3	
江	kɔŋ1-	
江	tɕiɔŋ1=	
池	tsɿ2	
污	vu1	
汪	uɔ̃1	一～水
汴	piẽ6	
決	kuø7	
汽	dʑʱi5b	
沁	dʑʱin5a	
沂	tɕi2	～河
沈	sən3	
沉	tsən2	
沌	tən5a	
沒	mø7	
沓	dʱɛ7	
沖	dzʱəŋ1	
沙	sa1	
沛	bʱi5b	
沫	mø8	
河	xo2	
油	iəu2	
治	tsɿ6	
沾	ȵiẽ2	
沿	uø̃2	
況	ɡʱuɔ̃5b	
泅	tɕiəu2	
泉	tɕiẽ2	
泊	bʱø7	梁山～
泌	pi5a	
泔	kø̃1	～水
法	fa7	方～
泛	fã5a	
泡	bʱo1	
泡	bʱɔo5b	
波	pʊ1	
泣	ɕi7	
泥	ȵi2	
注	ky5a	
泰	dʱai5b	
泳	vən5a	
洋	iɔŋ2	
洗	ɕi3	
洛	lo8	
洞	təŋ6	
津	tɕin1	
洩	ɕie7	～露
洪	xəŋ2	
洲	tsəu1	
活	xø8	
洽	dʑʱia7	
派	bʱai5b	
流	liəu2	
浙	tsø7	
浦	bʱo3	
浩	xɔo5a	
浪	lɔŋ6	
浮	po2-	浮在水面上
浮	bʱɔo2-	
浮	fu2=	
浴	iəu7=	
海	xɛ3	
浸	tɕin5a	
消	ɕiau1	
涉	se7	
涎	iẽ2	
涕	dʱi5b	鼻～
涮	sa7	～洗
涯	ia2	天～
液	i7	
涼	liɔŋ2	
淀	tiẽ6	
淆	ɕiau2	
淋	lin2	～漓；～濕
淑	səu7	
淒	dʑʱi1	
淘	tɔo2	
淚	li6-	
淚	le6	
淡	tã6	
淤	y1	
淨	tɕin6	
淫	in2	
淮	fɛ2	
深	sən1	
淵	uø̃1	
混	fən6	
淹	iẽ1	
淺	dʑʱiẽ3	
添	dʱiẽ1	
清	dʑʱiaŋ1-	
清	dʑʱin1=	
減	kã3-	
渠	ky2	
渡	təu6	
渣	tsa1	
測	dzʱe7	
港	kɔŋ3-	
渴	ɡʱø7	
渺	miau3	
渾	fən1	
渾	fən2	～濁
湊	dzʱau5b	
湖	fu2	
湘	ɕiɔŋ1	
湧	iəŋ3	
湯	dʱɔŋ1	
溉	ɡʱai5b	
源	uø̃2	
準	kuen3	
溜	liəu1	
溝	tɕiau1	
溪	ɕi1	
溫	uen1	
溶	iəŋ2	
溺	ȵi7	
溻	dʱa7	
滂	pɔŋ1	～沱
滅	mi7	
滋	tsɿ1	
滑	uã8	
滓	tsɿ3	
滔	dʱɔo1	
滬	fu6	
滯	dzʱɿ5b	停～
滲	dzʱɔŋ5b	
滴	tia7-	
滴	ti7=	
滸	fu3	水～
滾	kuen3	
滿	mø̃3	
漂	bʱiau1	～浮
漂	bʱiau3	～白
漂	bʱiau5b	～亮
漆	dʑʱi7	
漏	lau6	
演	iẽ3	
漚	ȵiau5a-	
漚	ŋəu5a=	
漢	xø̃5a	
漤	lã6	
漫	mã6	
漱	səu5a	～口
漲	tsɔŋ3	
漸	tsã6-	
漸	tɕiẽ6=	
漿	tɕiɔŋ1	
潑	bʱø7	
潔	tɕi7	
潘	bʱø̃1	
潛	tɕiẽ2	
潤	vən6	
潭	tø̃2	
潮	tsau2	
潰	kuei5a-	
潰	ɡʱuei5b=	～膿
潲	sau5a	
澀	sø7	
澄	tən1	水濁
澄	tsən2	
澆	tɕiau1	
澇	lɔo2	旱～
澗	tɕiẽ6	
澡	tsɔo3	
澤	dzʱe7	
激	tɕi7	
濃	ləŋ2	
濕	sɿ7	
濟	tɕi5a	
濤	tɔo2	
濫	lɛ̃5a	
濬	in3	
濺	tsã5a	
濾	li6-	
濾	lei6	
瀉	ɕi5a	
瀑	bʱʊ7	
灌	kuø̃5a	
灑	sɛ3-	
灑	sa3	
灑	sai3=	
灒	tsã5a	
灘	dʱɛ̃1	
灣	uã1	
火	xo3	
灰	fei1	
灸	tɕiəu3	針～
灼	tso7	
災	tsai1	
炊	dʑʱy1-	
炎	iẽ2	
炕	ɡʱɔŋ5b	
炙	tsɿ7	
炭	dʱã5b	
炮	bʱɔo5b	
炸	tsa5a	
烈	li8	
烊	iɔŋ2	
烏	vu1	
烘	xəŋ3	
烙	lo8	
烤	ɡʱɔo3	
烹	pən1	
焉	iẽ1	
焊	xø̃6	鐵～
焌	dzʱən1	
焙	pi2-	～乾
焚	fən2	
無	vu2	
焦	tɕiau1	
焯	tso7	
焰	iẽ6	
然	uø̃2	
煉	liẽ6	
煎	tɕiẽ1	
煙	iẽ1	
煞	sɛ7	
煞	sa5a	把病傳染給別人
煤	mi2	
煥	fø̃5a	
照	tsau5a	
煨	vei1	
煩	fã2	
煮	ky3	
熄	ɕi7	
熊	ɕiəŋ2	
熏	fən1	
熔	iəŋ2	
熙	ɕi1	
熛	piau1	液體從縫隙中噴出
熟	səu8	
熨	uen5a	
熬	ŋau2	
熬	ŋɔo2	
熱	ȵi8-	
熱	yø7=	
燃	ȵiẽ2	
燈	tən1	
燎	liau2	
燐	lin2	
燒	sau1	
燕	iẽ5a	～窩；～子
燙	dʱɔŋ5b	
營	iəŋ2	
燥	tsɔo5a	
燦	dzʱã5b	
燭	tsəu7	
爆	bʱɔo5b	
爐	ləu2	
爛	lã6	
爪	tsau3	～牙
爬	pa2	
爭	tsən1	
爲	uei2	作～；～什麼
爵	tɕio7	
父	fu6	
爸	pa1	
爹	tia1-	～～：祖父
爹	tie1=	父親
爺	ia2-	父親
爺	ie5b=	祖父
爽	sɔŋ3	
爾	ø3	
牆	tɕiɔŋ2	
片	bʱiẽ5b	
版	pã3	
牌	pai2	
牘	dʱəu7	
牙	ŋa2-	～齒
牙	ia2=	
牚	tsɔŋ3	
牛	ȵiəu2	
牡	miau3	
牢	lɔo2	
牧	mʊ8	
物	vu8	
牯	ku3	
牲	sən1	
特	dʱø7	
牽	dʑʱiẽ1	
犀	ɕi1	
犁	li2	
犍	tɕiẽ5a	
犒	kɔo6-	
犒	ɡʱɔo5a=	
犢	dʱəu7	
犧	ɕi1	
犬	ɡʱø̃6	
犯	fã6	
狀	tsɔŋ6	
狂	kuɔ̃2	
狄	dʱi8	
狐	fu2	
狗	tɕiau3-	
狗	kəu3=	
狡	tɕiau3	～詐
狸	li2	
狹	ɕia7	
狼	lɔŋ2	
猛	məŋ3	
猜	dzʱai1	
猝	dzʱəu5b-	
猝	dzʱəu7=	倉～
猩	ɕiaŋ1	
猬	uei6	
猴	xau2	
猶	iəu2	
猾	ua8	
猿	uø̃2	
獃	tai1	發～
獄	iəu8	
獅	sɿ1	
獎	tɕiɔŋ3	
獨	dʱəu7	
獨	tsəu7	
獲	xo7	
獵	li7	
獸	ɕiəu5a	
獺	dʱa7	水～
獻	ɕiẽ5a	
玄	fuø̃2-	
玄	ɕiẽ2=	
率	sɛ6	～領
率	li7	速～
率	li8	
玉	y5a	
王	uɔ̃2	
玩	uã2	
玫	mi2	
玻	pʊ1	～璃
珊	sɛ̃1	
珍	tsən1	
珠	ky1	
班	pã1	
現	ɕiẽ6	
球	tɕiəu2	
理	li3	
琉	liəu2	～璃
琢	tso7	
琴	tɕin2	
琵	pi2	～琶
琶	pa1	
瑞	ɕy6-	
瑞	fei6=	
瑟	se7	
瑣	so3	～碎
瑩	iaŋ2	
璃	li2	玻～
璧	pi7	
環	fã2	
璽	ɕi3	
瓊	kuen2	
瓜	kua1	
瓠	fu2	～蘆
瓠	fu6	～瓜
瓢	piau2	
瓣	pã6	
瓤	iɔŋ2	瓜～
瓦	ua3	
瓶	pin2	
瓷	tsɿ2	～器
甌	ȵiau1	
甕	vəŋ5a	
甘	kø̃1	
甚	sən6	桑～
甚	sən6	
甜	dʱiẽ2	
生	saŋ1-	
生	sən1=	
產	dzʱã3	
甥	sən1	
用	iəŋ6	
甫	fu3	
田	tiẽ2	
由	iəu2	
甲	tɕia7	
申	sən1	
男	lø̃2	
界	kai5a-	
界	tɕie5a=	
畏	uei5a	
留	liəu2	
畜	ɕiəu7-	
畜	dzʱəu7=	
畝	miau3	
畢	pi7	
略	lio8	
畦	ɕi1	菜～
番	fã1	幾～
畫	fa6	
異	i6	
當	tɔŋ1	～時；應～
當	tɔŋ5a	～作；典～
疆	tɕiɔŋ1	
疊	dʱi7	
疏	səu1	～遠
疑	ȵi2-	
疑	i2=	
疔	tiaŋ1	
疝	sã5a	～氣
疤	pa1	
疥	kai5a	
疫	y7	
疲	pi2	
疵	dzʱɿ1	吹毛求～
疸	tã3	
疹	tsən3	
疼	tən2	
疾	dʑʱi8	
痂	tɕia1	
病	piaŋ6-	
病	pin6=	
症	tsən5a	
痔	tsɿ6	
痕	xen2	
痘	tau6	
痛	dʱəŋ5b	
痞	bʱi3	
痢	li6	
痣	tsɿ5a	
痰	tsã2	
痱	fei5a	～子
痳	ma2	
痴	dzʱɿ1	
痹	pi1	
瘊	xau2	
瘋	xəŋ1	
瘍	iɔŋ2	潰～
瘟	uen1	
瘡	dzʱɔŋ1	
瘦	sau5a	
瘧	ȵio7	
瘰	lo3	
瘴	tsɔŋ5a	～氣
瘸	tɕia2-	
療	liau2	
癌	ŋai2	
癢	iɔŋ3	
癤	tɕi7	
癩	lai6	
癬	ɕiẽ3	
癰	iəŋ1	
癱	dʱɛ̃1	
癲	tiẽ1	
癸	kuei2	
登	tən1	
發	fa7	
白	bʱa8	
百	pø7	
皂	tsɔo6	
的	ti7	目～
皆	kai1-	
皆	tɕie1=	
皇	fɔ̃2	
皖	ɡʱø̃3	
皮	pi2	
皴	dzʱən1	
皺	tsau2	
皺	tsau5a	
皿	min3	
盅	tsəŋ1	
盆	pən2	
盈	in2	
益	i7	
盒	xø8	煙～
盔	kuei1	
盛	saŋ2-	
盛	sən6	～飯
盜	tɔo6	
盞	tsã6	
盟	məŋ2	
盡	tɕin6	
監	kã1-	～察；～牢
監	tɕiẽ1=	
盤	pø̃2	
盧	ləu2	
目	mʊ8	
盲	mɔŋ1	
直	dzʱɿ8	
相	ɕiɔŋ1	互～
相	ɕiɔŋ5a	～貌
盼	bʱã5b	
盾	tən6	矛～
省	sən3	反～
眉	mi2	
看	ɡʱã5b	～守；～見
真	tsən1	
眠	miẽ2	
眨	tsɛ7	～眼
眩	fuø̃2	
眵	dzʱɿ1	
眶	ɡʱuɔ̃1	眼～
眷	kuø̃5a	
眼	ŋã3	
眾	tsəŋ5a	
着	tso7	衣～；附～
着	tɕio7	
睏	ɡʱuen5b	
睛	tɕiaŋ1-	
睛	tɕin1=	
睜	tsən1	
睡	fei3	
睡	fei5a	
督	təu7	
睦	mʊ8	
睦	ləu8	
睬	dzʱai3	
瞄	miau5a	(存疑)四處看
瞌	ɡʱo7	
瞎	xa7	
瞖	i1	
瞞	mø̃2	
瞧	tɕiau2	
瞪	tən1	
瞭	liau2	
瞳	təŋ2	
瞻	tsø̃1	
瞿	ky2	
矛	mɔo2	
矢	sɿ3	
矣	i6	
知	tsɿ1	
矩	ky3	規～
短	tø̃3	
矮	ŋɛ3	
矯	tɕiau1	
石	sa8-	
石	sɿ8=	
砌	dʑʱi5b	
砍	ɡʱø̃3	
砑	ŋa7-	
砑	ia7=	
研	ȵiẽ1-	
研	iẽ1=	
砰	paŋ3	～門：用力關緊門
破	bʱʊ5b	
砸	tsa7	
硃	ky1	
硝	ɕiau1	
硫	liəu2	～磺
硬	ŋaŋ6-	
硬	ken3	
硬	ŋen6=	
硯	ȵiẽ6	
碎	dʑʱi5b	
碑	pe1	
碓	te5a	
碗	uø̃3	
碟	dʱi7	
碧	pi7	
碰	bʱəŋ5b	
確	ɡʱo7-	
確	dʑʱio7=	
碼	ma3	
碾	ȵiẽ3	
磁	tsɿ2	～石
磉	sɔŋ3	
磐	dʑʱin5b	
磑	ȵien1	
磕	ɡʱo7-	
磕	ɡʱəu5b=	
磚	kuø̃1	
磨	mʊ2	～刀石
磴	tən3	(存疑)柱下石
磷	lin2	
礎	dzʱəu3	
礓	tɕiɔŋ1	
礙	ŋɛ6	
礦	ɡʱuɔ̃5b	
礬	fã2	
示	sɿ6	
社	sø6	
祀	dʑʱi3	
祀	tsɿ6	
祀	sɿ6	祭～
祁	tɕi2	
祈	tɕi2	
祐	iəu6	
祖	tsəu3	
祝	tsəu7	
神	sən2	
祠	tsɿ2	
祥	tɕiɔŋ2	
票	bʱiau5b	
祭	tɕi5a	
祿	ləu8	
禁	tɕin1	
禁	tɕin5a	～不住；～止
禍	xo6	
福	fu7	
禦	y6	
禪	tsø̃2	～宗；～讓
禪	sø̃2	
禮	li3	
禱	tɔo6	
禹	y3	
禽	tɕin2	
禾	o2	
禿	dʱəu7	
秀	ɕiəu5a	
私	sɿ1	
秉	pin3	
秋	dʑʱiəu1	～天
科	ɡʱo1	
秒	miau3	
秕	bʱi1	
秘	pi5a	
租	tsəu1	
秤	dzʱən5b	
秦	tɕin2	
秧	iɔŋ1	
秩	dzʱɿ7	
移	i2	
稀	ɕi1	
稅	fei5a	
稈	kø̃3	稻～
程	tsən2	
稍	sau1	
稗	pa6	
稚	tsɿ2	
稟	pin3	
稠	tsəu2	
種	tsəŋ3	～類
種	tsəŋ5a	～樹
稱	dzʱən1	～呼
稱	dzʱən5b	相～
稻	tɔo6	
稼	tɕia5a	
稽	tɕi1	
稿	kɔo3	
穀	ku7	
積	tɕi7	
穎	in3	
穗	ɕi6-	
穗	sei6	
穢	fei5a	
穩	uen3	
穫	xo7	
穰	iɔŋ2	
穴	ɕi8	
究	tɕiəu5a	
空	ɡʱəŋ1	～虛；～缺
穿	ɡʱuø̃1	
突	dʱəu7	
窄	tse7	
窖	kau5a	
窗	dzʱɔŋ1	
窘	kuen1	
窟	ɡʱu7	～窿
窠	ɡʱo1	
窩	ɡʱo1	
窪	ua1	
窮	tsəŋ2	
窯	iau2	
窺	ɡʱuei1	
窿	ləŋ2	
竄	dzʱø̃5b	
竅	dʑʱiau5b	
竈	tsɔo5a	
竊	dʑʱi7	
立	li8	
站	tsã6	
站	tsã5a	
竟	tɕin5a	
章	tsɔŋ1	
童	təŋ2	
端	tø̃1	
競	tɕin5a	
竹	tsəu7	
竿	kø̃3	竹～
笊	tsa1	
笑	ɕiau5a	
笙	sən1	
笛	dʱi7	
笠	li8	
符	fu2	
笨	pən6	
第	ti6	
筆	pi7	
等	tən3	
筋	tɕin1	
筍	sən3	
筏	fa7	
筐	ɡʱuɔ̃1	
筒	təŋ2	
答	tɛ7	
策	dzʱe7	
筧	tɕiẽ3	
筵	iẽ5a	
筷	ɡʱuɛ5b	
箅	pi6	
箋	dʑʱiẽ1	
箍	ku1	
箏	tsən1	
算	sø̃5a	
管	kuø̃3	
箭	tɕiẽ5a	
箱	ɕiɔŋ1	
箸	ky5a	
節	tɕi7	
範	fã6	
篆	kuø̃6	
篇	bʱiẽ1	
築	tsəu7	
篙	kɔo1	
篡	dzʱø̃5b	
篤	təu7	
篩	sai1	
篷	pəŋ2	
篾	mø8	竹～
簍	lau3	
簡	kã3-	
簡	tɕiẽ3=	
簧	fɔ̃2	彈～
簪	tsø̃1	
簫	ɕiau1	
簰	pai2	
簷	iẽ2	
簸	pʊ5a	～～；～箕
簽	dʑʱiẽ1	
簾	liẽ2	
簿	po6	
簿	bʱʊ6	
籃	lɛ̃2	
籌	tsəu2	
籍	dʑʱi5b	
籠	ləŋ2	
籤	dʑʱiẽ1	
籬	li2	
籮	lo2	
米	mi3	
粉	fən3	
粒	dʱi5b	
粗	dzʱəu1	
粘	tsø̃1	
粟	ɕiəu7	
粥	tsəu7	
粱	liɔŋ2	
粳	ken3	
粵	yø7	
粹	dʑʱi5b	純～
糉	tsəŋ5a	
精	tɕiaŋ1-	
精	tɕin1=	
糊	fu2	
糍	tsɿ2	～粑
糕	kɔo1	
糖	tɔŋ2	
糙	dzʱɔo5b	粗～；～米
糜	mi2	
糞	fən5a	
糟	tsɔo1	
糠	ɡʱɔŋ1	
糧	liɔŋ2	
糯	lo6	
糰	dʱø̃2	
